epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.251135,87.944026,0.047397,98.324022,69.98,0.0001
1,0.082501,97.478087,0.009312,100.0,36.74,0.0001
2,0.054018,98.493003,0.002785,100.0,33.56,0.0001
3,0.064042,98.07781,0.000801,100.0,27.57,0.0001
4,0.057849,98.354606,0.138361,94.134078,26.3,0.0001
5,0.037422,99.108104,0.006885,99.72067,26.35,0.0001
6,0.041237,98.739044,0.136781,94.134078,25.75,0.0001
7,0.054376,98.446871,0.08156,96.648045,26.1,0.0001
8,0.040562,98.923574,0.166602,92.039106,26.41,0.0001
9,0.040922,98.739044,0.197793,93.01676,26.0,0.0001
10,0.028993,99.246502,0.003522,100.0,26.11,0.0001
11,0.041585,98.754421,0.02817,98.882682,25.93,0.0001
12,0.023779,99.415654,0.383713,88.268156,26.01,0.0001
13,0.032901,99.200369,0.031871,98.603352,27.28,0.0001
14,0.025706,99.246502,0.022718,99.162011,27.88,0.0001
15,0.051004,98.508381,0.00537,99.860335,26.32,0.0001
16,0.025205,99.323389,0.016544,99.162011,26.26,0.0001
17,0.023124,99.292634,0.001057,100.0,26.26,0.0001
18,0.02455,99.246502,0.017493,99.301676,26.33,0.0001
19,0.014239,99.600185,0.000718,100.0,26.2,0.0001
20,0.032223,99.015839,0.002041,100.0,25.98,0.0001
21,0.020753,99.354144,3.6e-05,100.0,26.09,0.0001
22,0.016916,99.538674,0.004444,99.860335,26.18,0.0001
23,0.029121,99.123481,0.000363,100.0,26.21,0.0001
24,0.021755,99.292634,0.001434,100.0,26.32,0.0001
25,0.017874,99.554052,0.000375,100.0,26.36,0.0001
26,0.022366,99.292634,5e-06,100.0,26.05,0.0001
27,0.017305,99.446409,0.000781,100.0,26.1,0.0001
28,0.015095,99.600185,0.001282,100.0,26.49,0.0001
29,0.025572,99.277257,0.074551,98.324022,26.3,0.0001
30,0.025689,99.261879,0.002188,99.860335,26.56,0.0001
31,0.014461,99.584807,0.003047,99.860335,26.45,0.0001
32,0.013994,99.600185,0.00363,99.860335,26.23,0.0001
33,0.02886,99.138859,9.9e-05,100.0,26.62,0.0001
34,0.016121,99.615562,0.000784,100.0,26.19,1e-05
35,0.009701,99.707827,0.00022,100.0,26.4,1e-05
36,0.008984,99.738582,0.000147,100.0,26.52,1e-05
37,0.009141,99.707827,0.000152,100.0,26.34,1e-05
38,0.007938,99.75396,0.000108,100.0,26.38,1e-05
39,0.008299,99.769337,0.00015,100.0,26.38,1e-05
40,0.01064,99.677072,0.000155,100.0,26.35,1e-05
41,0.009058,99.75396,8.7e-05,100.0,26.23,1e-05
42,0.00859,99.723205,8.7e-05,100.0,26.45,1e-05
43,0.008487,99.723205,4.5e-05,100.0,26.29,1e-05
44,0.008363,99.707827,3.3e-05,100.0,26.12,1e-05
45,0.009066,99.723205,6e-05,100.0,26.13,1e-05
46,0.007556,99.738582,7.1e-05,100.0,26.23,1e-05
47,0.007815,99.738582,0.000143,100.0,26.63,1e-05
48,0.007639,99.738582,0.000123,100.0,26.24,1e-05
49,0.008573,99.738582,0.000127,100.0,26.35,1e-05
50,0.007379,99.75396,4.3e-05,100.0,26.4,1e-05
51,0.007149,99.75396,5.9e-05,100.0,26.26,1e-05
52,0.006986,99.784715,0.000214,100.0,26.18,1e-05
53,0.009045,99.69245,6e-06,100.0,26.25,1e-05
54,0.008057,99.75396,1.2e-05,100.0,26.33,1e-05
55,0.007579,99.723205,2.4e-05,100.0,26.39,1e-05
56,0.008245,99.738582,0.000448,100.0,26.1,1e-05
57,0.007502,99.738582,3.9e-05,100.0,26.18,1e-05
58,0.008196,99.75396,0.000111,100.0,26.39,1e-05
59,0.007434,99.75396,3.1e-05,100.0,26.22,1e-05
60,0.00729,99.738582,5.3e-05,100.0,26.3,1e-05
61,0.006563,99.75396,0.0,100.0,26.11,1e-05
62,0.007912,99.738582,8.2e-05,100.0,26.37,1e-05
63,0.00815,99.75396,8.9e-05,100.0,26.44,1e-05
64,0.00728,99.75396,3.4e-05,100.0,26.16,1e-05
65,0.007354,99.723205,4.4e-05,100.0,26.43,1e-05
66,0.006659,99.75396,3e-06,100.0,26.2,1e-05
67,0.00756,99.75396,0.000216,100.0,34.06,1e-05
68,0.00778,99.738582,0.000222,100.0,30.16,1e-05
69,0.007954,99.738582,0.00024,100.0,30.34,1.0000000000000002e-06
70,0.007336,99.75396,0.00018,100.0,31.63,1.0000000000000002e-06
71,0.007378,99.738582,0.000156,100.0,26.85,1.0000000000000002e-06
72,0.007378,99.738582,0.000141,100.0,26.2,1.0000000000000002e-06
73,0.006986,99.75396,0.000139,100.0,25.95,1.0000000000000002e-06
74,0.007265,99.738582,0.000115,100.0,26.08,1.0000000000000002e-06
75,0.007121,99.738582,0.000114,100.0,26.19,1.0000000000000002e-06
76,0.007651,99.75396,0.000125,100.0,25.99,1.0000000000000002e-06
77,0.007141,99.75396,0.000127,100.0,26.16,1.0000000000000002e-06
78,0.007144,99.738582,0.000127,100.0,25.81,1.0000000000000002e-06
79,0.006559,99.75396,0.000116,100.0,25.93,1.0000000000000002e-06
80,0.006785,99.75396,0.000124,100.0,26.37,1.0000000000000002e-06
81,0.006735,99.75396,0.000115,100.0,26.05,1.0000000000000002e-06
82,0.007082,99.769337,0.000137,100.0,26.1,1.0000000000000002e-06
83,0.006759,99.75396,0.000119,100.0,26.05,1.0000000000000002e-06
84,0.006962,99.738582,9.9e-05,100.0,25.92,1.0000000000000002e-06
85,0.006706,99.75396,9.3e-05,100.0,26.11,1.0000000000000002e-06
86,0.006439,99.784715,7.9e-05,100.0,26.14,1.0000000000000002e-06
87,0.006126,99.784715,7.2e-05,100.0,26.15,1.0000000000000002e-06
88,0.005951,99.769337,5e-05,100.0,25.83,1.0000000000000002e-06
89,0.006906,99.769337,6.3e-05,100.0,26.12,1.0000000000000002e-06
90,0.0066,99.769337,7.7e-05,100.0,26.15,1.0000000000000002e-06
91,0.006303,99.75396,7.6e-05,100.0,25.83,1.0000000000000002e-06
92,0.007606,99.738582,0.000107,100.0,26.49,1.0000000000000002e-06
93,0.00609,99.75396,0.000105,100.0,26.08,1.0000000000000002e-06
94,0.00657,99.75396,8.6e-05,100.0,26.13,1.0000000000000002e-06
95,0.006176,99.800092,6.6e-05,100.0,26.18,1.0000000000000002e-06
96,0.006834,99.75396,8.6e-05,100.0,26.01,1.0000000000000002e-06
97,0.006799,99.738582,0.000105,100.0,26.12,1.0000000000000002e-06
98,0.006202,99.769337,9.1e-05,100.0,26.23,1.0000000000000002e-06
99,0.00619,99.75396,6.3e-05,100.0,28.2,1.0000000000000002e-06
