epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.13529,94.169584,0.02576,99.440559,21.73,0.0001
1,0.060143,98.0819,0.053615,98.741259,19.59,0.0001
2,0.03698,99.025727,0.01377,99.58042,19.42,0.0001
3,0.060586,98.051454,0.021316,99.58042,19.67,0.0001
4,0.045751,98.675598,0.045219,98.461538,19.67,0.0001
5,0.0269,99.436748,0.014922,99.58042,19.59,0.0001
6,0.029031,99.132288,0.021022,99.58042,19.39,0.0001
7,0.018873,99.467194,0.006595,99.86014,19.25,0.0001
8,0.020393,99.299741,0.030033,99.440559,19.29,0.0001
9,0.010729,99.634648,0.017524,99.58042,19.35,0.0001
10,0.044214,98.629928,0.016306,99.58042,19.24,0.0001
11,0.040388,98.858274,0.01857,99.440559,19.29,0.0001
12,0.013597,99.49764,0.016592,99.58042,19.43,0.0001
13,0.008637,99.725986,0.013152,99.58042,19.19,0.0001
14,0.020141,99.467194,0.017403,99.58042,19.45,0.0001
15,0.017481,99.512863,0.021057,99.58042,19.42,0.0001
16,0.00941,99.619425,0.01542,99.58042,19.13,0.0001
17,0.018368,99.451971,0.063102,98.601399,18.99,0.0001
18,0.012846,99.558533,0.015692,99.58042,19.2,0.0001
19,0.037863,98.919166,0.01552,99.58042,19.27,0.0001
20,0.009144,99.649871,0.011755,99.58042,19.2,0.0001
21,0.035635,98.949612,0.012315,99.58042,19.2,0.0001
22,0.006828,99.756432,0.016247,99.58042,19.21,0.0001
23,0.011305,99.69554,0.008115,99.58042,19.53,0.0001
24,0.010457,99.588979,0.01993,99.58042,19.22,0.0001
25,0.00735,99.756432,0.012149,99.58042,19.23,0.0001
26,0.006566,99.741209,0.015536,99.58042,19.72,0.0001
27,0.020057,99.421525,0.024438,99.440559,18.99,0.0001
28,0.021675,99.436748,0.022567,99.440559,19.0,0.0001
29,0.007248,99.69554,0.019259,99.72028,19.17,0.0001
30,0.005459,99.725986,0.013844,99.58042,19.07,0.0001
31,0.005478,99.802101,0.018115,99.58042,19.04,0.0001
32,0.037749,98.919166,0.01291,99.58042,19.17,0.0001
33,0.007795,99.69554,0.058358,99.300699,19.14,0.0001
34,0.009415,99.741209,0.005428,99.72028,19.15,1e-05
35,0.002604,99.893439,0.013403,99.72028,19.28,1e-05
36,0.001977,99.908662,0.013886,99.72028,19.5,1e-05
37,0.002442,99.878216,0.016014,99.72028,19.42,1e-05
38,0.002114,99.893439,0.015377,99.72028,19.15,1e-05
39,0.00182,99.939108,0.015938,99.72028,19.33,1e-05
40,0.000772,99.969554,0.019026,99.72028,19.47,1e-05
41,0.001023,99.969554,0.017718,99.72028,19.32,1e-05
42,0.002241,99.923885,0.022304,99.58042,19.18,1e-05
43,0.001155,99.954331,0.020323,99.72028,19.41,1e-05
44,0.000548,100.0,0.020751,99.72028,19.33,1e-05
45,0.003336,99.908662,0.021021,99.72028,20.59,1e-05
46,0.00056,100.0,0.020383,99.72028,19.26,1e-05
47,0.001301,99.939108,0.010375,99.440559,19.16,1e-05
48,0.000994,99.954331,0.024164,99.72028,19.29,1e-05
49,0.001009,99.969554,0.023548,99.72028,19.15,1e-05
50,0.000548,99.984777,0.028867,99.72028,19.14,1e-05
51,0.000532,99.984777,0.031952,99.72028,19.22,1e-05
52,0.000339,100.0,0.035536,99.72028,19.17,1e-05
53,0.000963,99.954331,0.032363,99.72028,19.19,1e-05
54,0.000405,99.984777,0.04478,99.72028,19.15,1e-05
55,0.002345,99.939108,0.02752,99.72028,19.05,1e-05
56,0.000321,100.0,0.03104,99.72028,19.12,1e-05
57,0.000242,99.984777,0.027545,99.72028,19.83,1e-05
58,0.000114,100.0,0.036694,99.72028,18.97,1e-05
59,6.9e-05,100.0,0.041189,99.72028,19.02,1e-05
60,0.00084,99.969554,0.036328,99.72028,19.19,1e-05
61,6.6e-05,100.0,0.047077,99.72028,19.06,1e-05
62,3e-05,100.0,0.038238,99.72028,19.44,1e-05
63,0.002115,99.954331,0.036571,99.58042,19.81,1e-05
64,0.00047,99.984777,0.036491,99.72028,19.05,1e-05
65,3.2e-05,100.0,0.039191,99.72028,19.08,1e-05
66,9.8e-05,100.0,0.043728,99.72028,18.98,1e-05
67,0.001014,99.969554,0.03972,99.72028,19.1,1e-05
68,0.00031,99.984777,0.04377,99.72028,19.09,1e-05
69,0.000137,99.984777,0.058414,99.58042,19.15,1.0000000000000002e-06
70,0.000422,99.984777,0.053011,99.58042,19.16,1.0000000000000002e-06
71,6.9e-05,100.0,0.051065,99.72028,19.05,1.0000000000000002e-06
72,2.1e-05,100.0,0.050364,99.72028,19.05,1.0000000000000002e-06
73,1.6e-05,100.0,0.050085,99.72028,19.18,1.0000000000000002e-06
74,1.9e-05,100.0,0.050253,99.72028,19.1,1.0000000000000002e-06
75,1e-05,100.0,0.050055,99.72028,19.24,1.0000000000000002e-06
76,6e-05,100.0,0.046916,99.72028,19.21,1.0000000000000002e-06
77,4.1e-05,100.0,0.045756,99.72028,19.16,1.0000000000000002e-06
78,1e-05,100.0,0.046143,99.72028,19.11,1.0000000000000002e-06
79,4.2e-05,100.0,0.048363,99.72028,19.1,1.0000000000000002e-06
80,7e-06,100.0,0.0483,99.72028,19.11,1.0000000000000002e-06
81,6.5e-05,100.0,0.045614,99.72028,19.2,1.0000000000000002e-06
82,4e-06,100.0,0.046125,99.72028,19.12,1.0000000000000002e-06
83,1.9e-05,100.0,0.047815,99.72028,19.17,1.0000000000000002e-06
84,2.6e-05,100.0,0.048583,99.72028,19.43,1.0000000000000002e-06
85,7e-06,100.0,0.04937,99.72028,19.14,1.0000000000000002e-06
86,3e-05,100.0,0.051821,99.72028,19.11,1.0000000000000002e-06
87,4e-06,100.0,0.052001,99.72028,19.24,1.0000000000000002e-06
88,4e-06,100.0,0.051767,99.72028,19.6,1.0000000000000002e-06
89,4e-06,100.0,0.0514,99.72028,19.21,1.0000000000000002e-06
90,2e-06,100.0,0.051421,99.72028,19.21,1.0000000000000002e-06
91,6e-06,100.0,0.050645,99.72028,19.2,1.0000000000000002e-06
92,3e-06,100.0,0.049665,99.72028,19.07,1.0000000000000002e-06
93,2e-06,100.0,0.049648,99.72028,19.13,1.0000000000000002e-06
94,2e-06,100.0,0.050189,99.72028,19.24,1.0000000000000002e-06
95,2e-06,100.0,0.051541,99.72028,19.84,1.0000000000000002e-06
96,0.0,100.0,0.051862,99.72028,25.39,1.0000000000000002e-06
97,4.2e-05,100.0,0.047877,99.72028,3047.2,1.0000000000000002e-06
98,8e-06,100.0,0.049804,99.72028,29.76,1.0000000000000002e-06
99,5e-06,100.0,0.04964,99.72028,18.91,1.0000000000000002e-06
