epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.291189,85.933932,0.053222,98.041958,26.92,0.0001
1,0.07655,97.488202,0.027784,99.58042,25.14,0.0001
2,0.04949,98.569036,0.028894,99.160839,25.77,0.0001
3,0.04234,98.690821,0.014989,99.58042,26.02,0.0001
4,0.048734,98.53859,0.031243,99.300699,26.16,0.0001
5,0.036272,98.980058,0.027231,99.440559,25.6,0.0001
6,0.052742,98.401583,0.016114,99.72028,25.4,0.0001
7,0.033658,99.117065,0.01647,99.58042,25.43,0.0001
8,0.034511,98.964835,0.485439,85.034965,25.4,0.0001
9,0.046582,98.675598,0.015551,99.58042,25.86,0.0001
10,0.028265,99.208403,0.035067,99.160839,25.26,0.0001
11,0.038985,98.843051,0.016646,99.58042,25.39,0.0001
12,0.030494,99.101842,0.038129,98.881119,25.38,0.0001
13,0.024293,99.269295,0.009398,99.58042,25.46,0.0001
14,0.024988,99.299741,0.014938,99.58042,26.33,0.0001
15,0.029089,99.132288,0.008187,99.58042,25.2,0.0001
16,0.033208,99.056173,0.011381,99.58042,25.27,0.0001
17,0.019073,99.406302,0.008314,99.72028,25.45,0.0001
18,0.048294,98.614705,0.02214,99.160839,25.19,0.0001
19,0.020373,99.467194,0.011699,99.58042,25.24,0.0001
20,0.023026,99.314964,0.020341,99.58042,25.43,0.0001
21,0.015603,99.604202,0.013268,99.58042,25.24,0.0001
22,0.032951,98.949612,0.004576,99.72028,25.31,0.0001
23,0.020508,99.375856,0.009821,99.72028,25.53,0.0001
24,0.02307,99.421525,0.010105,99.72028,25.4,0.0001
25,0.016701,99.528086,0.008653,99.72028,25.47,0.0001
26,0.01626,99.558533,0.009447,99.86014,25.24,0.0001
27,0.028031,99.391079,0.012614,99.440559,25.44,0.0001
28,0.026419,99.314964,0.00622,99.86014,25.23,0.0001
29,0.024717,99.299741,0.006825,99.72028,25.3,0.0001
30,0.017697,99.436748,0.00722,99.72028,25.44,0.0001
31,0.021964,99.314964,0.005225,99.86014,25.3,0.0001
32,0.015351,99.482417,0.006306,99.86014,25.31,0.0001
33,0.031815,99.117065,0.012366,99.58042,25.68,0.0001
