epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.229797,88.692899,0.023803,99.58042,27.77,0.0001
1,0.098012,96.638022,0.028371,99.440559,27.58,0.0001
2,0.049553,98.628072,0.027354,99.440559,28.12,0.0001
3,0.056149,98.432082,0.02979,99.020979,26.68,0.0001
4,0.04842,98.643148,0.028643,99.440559,26.29,0.0001
5,0.04648,98.763757,0.038726,99.160839,26.3,0.0001
6,0.035176,99.035127,0.022127,99.58042,26.39,0.0001
7,0.035794,99.095432,0.01542,99.58042,26.29,0.0001
8,0.063317,98.522539,0.017051,99.58042,26.25,0.0001
9,0.060639,98.221016,0.017235,99.58042,26.19,1e-05
10,0.021335,99.502488,0.016418,99.58042,27.6,1e-05
11,0.01727,99.653249,0.01387,99.58042,26.71,1e-05
12,0.017957,99.592944,0.013121,99.58042,26.48,1e-05
13,0.013673,99.638173,0.014209,99.58042,25.71,1e-05
14,0.01417,99.577868,0.013065,99.58042,26.05,1e-05
15,0.016651,99.577868,0.010314,99.72028,26.16,1e-05
16,0.013395,99.638173,0.013648,99.58042,25.75,1e-05
17,0.012092,99.683401,0.012863,99.58042,25.81,1e-05
18,0.012783,99.653249,0.010337,99.72028,25.63,1e-05
19,0.011946,99.638173,0.011089,99.58042,25.61,1.0000000000000002e-06
20,0.010603,99.638173,0.009807,99.72028,25.98,1.0000000000000002e-06
21,0.01295,99.638173,0.009185,99.72028,25.72,1.0000000000000002e-06
22,0.011354,99.668325,0.009147,99.72028,25.85,1.0000000000000002e-06
23,0.010484,99.668325,0.008774,99.72028,26.58,1.0000000000000002e-06
24,0.012217,99.653249,0.008277,99.72028,26.17,1.0000000000000002e-06
