epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.183023,91.88904,0.033202,99.160839,18.47,0.0001
1,0.060826,97.93457,0.050918,98.181818,18.44,0.0001
2,0.03119,99.020051,0.029136,99.300699,19.05,0.0001
3,0.048256,98.597919,0.023585,99.58042,19.62,0.0001
4,0.032958,99.050204,0.2252,89.230769,19.64,0.0001
5,0.037559,98.854214,0.012088,99.58042,19.61,0.0001
6,0.018356,99.396955,0.022895,99.58042,19.57,0.0001
7,0.033447,98.86929,0.035349,99.020979,19.12,0.0001
8,0.211846,91.210614,0.142121,94.825175,19.26,0.0001
9,0.082195,97.07523,0.018725,99.440559,19.21,1e-05
10,0.016488,99.547716,0.013062,99.58042,19.23,1e-05
11,0.011998,99.623097,0.010007,99.58042,19.1,1e-05
12,0.010394,99.683401,0.009661,99.58042,19.24,1e-05
13,0.010532,99.608021,0.009358,99.58042,19.22,1e-05
14,0.008834,99.668325,0.007467,99.86014,19.43,1e-05
15,0.009007,99.668325,0.012588,99.58042,19.19,1e-05
16,0.00864,99.608021,0.010214,99.58042,19.19,1e-05
17,0.008626,99.683401,0.009378,99.58042,19.24,1e-05
18,0.005697,99.758782,0.011903,99.58042,19.08,1e-05
19,0.005885,99.72863,0.011903,99.58042,19.13,1.0000000000000002e-06
20,0.004403,99.834163,0.01194,99.58042,19.34,1.0000000000000002e-06
21,0.003701,99.834163,0.012097,99.58042,19.15,1.0000000000000002e-06
22,0.003637,99.834163,0.011067,99.58042,19.46,1.0000000000000002e-06
23,0.003648,99.864315,0.013214,99.58042,19.5,1.0000000000000002e-06
24,0.00379,99.849239,0.009985,99.58042,22.88,1.0000000000000002e-06
