epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.224037,89.657772,0.030211,99.300699,69.38,0.0001
1,0.047562,98.537615,0.019916,99.440559,24.18,0.0001
2,0.042972,98.778833,0.016679,99.58042,35.08,0.0001
3,0.032207,99.050204,0.021802,99.58042,25.16,0.0001
4,0.047263,98.507463,0.036486,98.461538,19.71,1e-05
5,0.015519,99.592944,0.012787,99.58042,19.59,1e-05
6,0.010148,99.683401,0.009266,99.72028,19.21,1e-05
7,0.010954,99.698477,0.009772,99.72028,19.25,1e-05
8,0.00844,99.713553,0.008749,99.72028,19.31,1e-05
9,0.007384,99.773858,0.012588,99.440559,19.28,1.0000000000000002e-06
10,0.005878,99.773858,0.007946,99.72028,19.34,1.0000000000000002e-06
11,0.00589,99.819086,0.008977,99.72028,20.12,1.0000000000000002e-06
12,0.005727,99.773858,0.008584,99.72028,20.61,1.0000000000000002e-06
13,0.00476,99.788934,0.008768,99.72028,19.37,1.0000000000000002e-06
14,0.005129,99.80401,0.007848,99.72028,19.27,1.0000000000000002e-07
