epoch,train_loss,train_accuracy_pct,val_loss,val_accuracy_pct,seconds,learning_rate
0,0.206574,90.607568,0.048851,98.741259,28.07,0.0001
1,0.120097,95.974672,0.045855,98.321678,29.12,0.0001
2,0.060128,98.281321,0.023891,99.58042,33.84,0.0001
3,0.050388,98.6733,0.078423,97.342657,36.36,0.0001
4,0.076427,97.663199,0.056902,98.181818,33.58,1e-05
5,0.030059,99.396955,0.016441,99.58042,34.1,1e-05
6,0.023168,99.53264,0.017066,99.58042,27.14,1e-05
7,0.023075,99.472335,0.01969,99.440559,27.73,1e-05
8,0.018586,99.608021,0.013189,99.58042,28.79,1e-05
9,0.020012,99.547716,0.014557,99.58042,27.67,1.0000000000000002e-06
10,0.016793,99.668325,0.015479,99.58042,27.83,1.0000000000000002e-06
11,0.016771,99.623097,0.013277,99.58042,33.06,1.0000000000000002e-06
12,0.015859,99.592944,0.013668,99.58042,31.31,1.0000000000000002e-06
13,0.016326,99.592944,0.013881,99.58042,40.99,1.0000000000000002e-06
14,0.015832,99.592944,0.013099,99.58042,31.99,1.0000000000000002e-07
